29543,29744,59,2,9
29649,29769,37,1,3
29586,29768,46,4,16
29574,29751,53,2,6
29601,29763,51,1,3
29672,29780,33,1,3
29709,29790,24,1,3
29605,29764,50,1,3
29685,29784,30,1,3
29590,29769,45,4,16
29574,29765,49,4,16
29704,29788,25,1,3
29690,29780,27,1,3
29657,29777,37,1,3
29703,29787,25,1,3
29590,29764,50,2,9
29634,29780,34,4,16
29581,29758,56,1,3
29691,29784,28,1,3
29688,29778,27,1,3
29622,29777,37,4,16
29709,29790,24,1,3
29622,29777,37,4,16
29602,29761,50,1,3
29578,29766,48,4,16
29602,29767,47,2,9
29578,29743,47,2,9
29664,29769,32,1,3
29602,29767,47,2,9
29603,29765,46,2,9
29602,29767,47,2,9
29598,29766,48,2,9
29582,29744,46,2,9
29527,29743,47,3,33
29586,29745,45,2,9
29668,29770,31,1,3
29594,29765,49,2,9
29598,29766,48,2,9
29608,29767,45,2,9
29578,29749,49,2,9
29602,29767,47,2,9
29602,29767,47,2,9
29648,29765,36,1,3
29598,29760,46,2,9
29681,29783,31,1,3
29713,29785,21,1,3
29705,29783,23,1,3
29657,29759,31,1,3
29644,29749,32,1,3
29598,29766,48,2,9
29601,29763,51,1,3
29670,29772,31,1,3
29621,29768,46,1,3
29586,29757,49,2,9
29585,29762,51,2,9
29569,29749,52,2,9
29653,29770,36,1,3
29672,29771,30,1,3
29677,29782,32,1,3
29586,29763,51,2,9
29577,29751,50,2,9
29636,29747,34,1,3
29705,29783,23,1,3
29701,29782,24,1,3
29656,29767,31,2,6
29689,29767,23,1,3
29558,29738,49,3,12
29676,29772,29,1,3
29692,29776,25,1,3
29601,29766,47,2,9
29665,29758,28,1,3
29716,29788,21,1,3
29682,29775,28,1,3
29705,29783,23,1,3
29701,29782,24,1,3
29713,29785,21,1,3
29680,29773,28,1,3
29606,29768,46,2,9
29673,29781,33,1,3
29605,29746,44,1,3
29693,29780,26,1,3
29701,29782,24,1,3
29709,29784,22,1,3
29606,29768,46,2,9
29571,29745,45,3,15
29717,29792,22,1,3
29689,29785,29,1,3
29603,29762,45,2,9
29569,29749,52,2,9
29689,29785,29,1,3
29590,29764,50,2,9
29599,29764,47,2,9
29602,29767,47,2,9
29566,29758,56,2,9
29585,29756,43,2,18
29604,29760,44,2,9
